ID,Purpose,Length,Lanes,Clear,T or D,Material,Span,,,,,,,,,,,,,,
E1,HIGHWAY,,2,N,THROUGH,WOOD,SHORT,,,,,,,,,,,,,,
E2,HIGHWAY,1037,2,N,THROUGH,WOOD,SHORT,,,,,,,,,,,,,,
E3,AQUEDUCT,,1,N,THROUGH,WOOD,,,,,,,,,,,,,,,
E5,HIGHWAY,1000,2,N,THROUGH,WOOD,SHORT,,,,,,,,,,,,,,
E6,HIGHWAY,,2,N,THROUGH,WOOD,,,,,,,,,,,,,,,
E7,HIGHWAY,990,2,N,THROUGH,WOOD,MEDIUM,,,,,,,,,,,,,,
E8,AQUEDUCT,1000,1,N,THROUGH,IRON,SHORT,,,,,,,,,,,,,,
E9,HIGHWAY,1500,2,N,THROUGH,IRON,SHORT,,,,,,,,,,,,,,
E10,AQUEDUCT,,1,N,DECK,WOOD,,,,,,,,,,,,,,,
E11,HIGHWAY,1000,2,N,THROUGH,WOOD,MEDIUM,,,,,,,,,,,,,,
E12,RR,,2,N,DECK,WOOD,,,,,,,,,,,,,,,
E14,HIGHWAY,1200,2,N,THROUGH,WOOD,MEDIUM,,,,,,,,,,,,,,
E13,HIGHWAY,,2,N,THROUGH,WOOD,,,,,,,,,,,,,,,
E15,RR,,2,N,THROUGH,WOOD,,,,,,,,,,,,,,,
E16,HIGHWAY,1030,2,N,THROUGH,IRON,MEDIUM,,,,,,,,,,,,,,
E17,RR,1000,2,N,THROUGH,IRON,MEDIUM,,,,,,,,,,,,,,
E18,RR,1200,2,N,THROUGH,IRON,SHORT,,,,,,,,,,,,,,
E19,HIGHWAY,1000,2,N,THROUGH,WOOD,MEDIUM,,,,,,,,,,,,,,
E20,HIGHWAY,1000,2,N,THROUGH,WOOD,MEDIUM,,,,,,,,,,,,,,
E21,RR,,2,,THROUGH,IRON,,,,,,,,,,,,,,,
E23,HIGHWAY,1245,,,THROUGH,STEEL,LONG,,,,,,,,,,,,,,
E22,HIGHWAY,1200,4,G,THROUGH,WOOD,SHORT,,,,,,,,,,,,,,
E24,RR,,2,G,,STEEL,,,,,,,,,,,,,,,
E25,RR,,2,G,,STEEL,,,,,,,,,,,,,,,
E27,RR,,2,G,THROUGH,STEEL,,,,,,,,,,,,,,,
E26,RR,1150,2,G,THROUGH,STEEL,MEDIUM,,,,,,,,,,,,,,
E30,RR,,2,G,THROUGH,STEEL,MEDIUM,,,,,,,,,,,,,,
E29,HIGHWAY,1080,2,G,THROUGH,STEEL,MEDIUM,,,,,,,,,,,,,,
E28,HIGHWAY,1000,2,G,THROUGH,STEEL,MEDIUM,,,,,,,,,,,,,,
E32,HIGHWAY,,2,G,THROUGH,IRON,MEDIUM,,,,,,,,,,,,,,
E31,RR,1161,2,G,THROUGH,STEEL,MEDIUM,,,,,,,,,,,,,,
E34,RR,4558,2,G,THROUGH,STEEL,LONG,,,,,,,,,,,,,,
E33,HIGHWAY,1120,,G,THROUGH,IRON,MEDIUM,,,,,,,,,,,,,,
E36,HIGHWAY,,2,G,THROUGH,IRON,SHORT,,,,,,,,,,,,,,
E35,HIGHWAY,1000,2,G,THROUGH,STEEL,MEDIUM,,,,,,,,,,,,,,
