Afghanistan,35530082,8971346,25
Algeria,41318141,29770547,72
Angola,29784193,19311772,65
Armenia,2930450,1849202,63
Azerbaijan,9827589,5438882,55
Bangladesh,164669750,59047282,36
Belize,374681,170858,46
Benin,11175692,5226648,47
Bolivia,11051600,7634445,69
Burkina Faso,19193383,5516754,29
Burundi,10864245,1380411,13
Cambodia,16005373,3678035,23
Cameroon,24053727,13416447,56
Chad,14899994,3405841,23
Colombia,49065613,39471323,80
Congo,5260750,3496242,66
Cote d'Ivoire,24294750,12226576,50
Cuba,11484636,8840528,77
Democratic Republic of the Congo,81339984,35691983,44
Dominican Republic,10766998,8643423,80
Ecuador,16624857,10585047,64
Egypt,97553148,41660074,43
El Salvador,6377853,4545815,71
Eswatini,1367254,323014,24
Ethiopia,104957438,21316855,20
Gambia,2100568,1272923,61
Ghana,28833629,15975849,55
Guatemala,16913504,8571764,51
Guinea,12717176,4551859,36
Guinea-Bissau,1861283,799328,43
Guyana,777859,206428,27
Haiti,10981229,5967859,54
India,1339180125,449964502,34
Indonesia,263991375,144295047,55
Iraq,38274617,26898635,70
Kazakhstan,18204498,10437731,57
Kenya,49699863,13201277,27
Kyrgyzstan,6045117,2184403,36
Laos,6858160,2357012,34
Lesotho,2233339,619305,28
Liberia,4731906,2398934,51
Malawi,18622104,3112499,17
Maldives,436330,171827,39
Mali,18541980,7708272,42
Marshall Islands,53127,40713,77
Mauritania,4420184,2334918,53
Mexico,129163273,103158827,80
Mongolia,3075647,2102605,68
Myanmar,53370609,16183036,30
Namibia,2533794,1241686,49
Nepal,29304998,5666415,19
Nigeria,190886313,94524995,50
Pakistan,197015953,71796556,36
Paraguay,6811297,4175325,61
Peru,32165484,24999015,78
Philippines,104918094,48977864,47
Rwanda,12208407,2090690,17
Sao Tome and Principe,204327,147050,72
Senegal,15850567,7408555,47
Sierra Leone,7557212,3146521,42
Solomon Islands,611343,142357,23
Somalia,14742523,6544353,44
South Africa,56717156,37348247,66
Sudan,40533328,13931304,34
Syrian Arab Republic,18269867,9774379,54
Tajikistan,8921343,2407157,27
Thailand,69037516,33966458,49
Timor-Leste,1296311,391641,30
Togo,7797694,3209687,41
Tunisia,11532127,7915882,69
Uganda,42862957,9942491,23
United Republic of Tanzania,57310020,18942682,33
Vanuatu,276244,69511,25
Viet Nam,95540797,33642782,35
Yemen,28250420,10174671,36
Zambia,17094131,7346374,43
Zimbabwe,16529904,5328745,32
